oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.06.56, CEST,mer 15 apr 2020, 16.07.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.01, CEST,mer 15 apr 2020, 16.07.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.07, CEST,mer 15 apr 2020, 16.07.13, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.13, CEST,mer 15 apr 2020, 16.07.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.18, CEST,mer 15 apr 2020, 16.07.24, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.24, CEST,mer 15 apr 2020, 16.07.29, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.29, CEST,mer 15 apr 2020, 16.07.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.35, CEST,mer 15 apr 2020, 16.07.41, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.41, CEST,mer 15 apr 2020, 16.07.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.46, CEST,mer 15 apr 2020, 16.07.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.51, CEST,mer 15 apr 2020, 16.07.57, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testMissingConfigDefaults,test fail, mer 15 apr 2020, 16.07.57, CEST,mer 15 apr 2020, 16.08.02, CEST
