oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.16.49, CEST,mar 14 apr 2020, 15.16.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.16.54, CEST,mar 14 apr 2020, 15.17.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.00, CEST,mar 14 apr 2020, 15.17.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.05, CEST,mar 14 apr 2020, 15.17.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.11, CEST,mar 14 apr 2020, 15.17.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.16, CEST,mar 14 apr 2020, 15.17.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.21, CEST,mar 14 apr 2020, 15.17.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.27, CEST,mar 14 apr 2020, 15.17.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.32, CEST,mar 14 apr 2020, 15.17.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordActionStartXCommand,testActionStartCommand,test fail, mar 14 apr 2020, 15.17.37, CEST,mar 14 apr 2020, 15.17.43, CEST
