oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.44, CEST,mer 15 apr 2020, 12.59.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.50, CEST,mer 15 apr 2020, 12.59.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 12.59.55, CEST,mer 15 apr 2020, 13.00.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.01, CEST,mer 15 apr 2020, 13.00.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.06, CEST,mer 15 apr 2020, 13.00.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.11, CEST,mer 15 apr 2020, 13.00.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.16, CEST,mer 15 apr 2020, 13.00.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.22, CEST,mer 15 apr 2020, 13.00.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.27, CEST,mer 15 apr 2020, 13.00.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.32, CEST,mer 15 apr 2020, 13.00.38, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.38, CEST,mer 15 apr 2020, 13.00.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.43, CEST,mer 15 apr 2020, 13.00.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.48, CEST,mer 15 apr 2020, 13.00.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.54, CEST,mer 15 apr 2020, 13.00.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.00.59, CEST,mer 15 apr 2020, 13.01.04, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.01.04, CEST,mer 15 apr 2020, 13.01.10, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.01.10, CEST,mer 15 apr 2020, 13.01.15, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.01.15, CEST,mer 15 apr 2020, 13.01.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.01.20, CEST,mer 15 apr 2020, 13.01.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.01.25, CEST,mer 15 apr 2020, 13.01.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmitWithWrongNamespace,test fail, mer 15 apr 2020, 13.01.31, CEST,mer 15 apr 2020, 13.01.36, CEST
