VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.36, CEST,ven 10 apr 2020, 23.29.40, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.40, CEST,ven 10 apr 2020, 23.29.43, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.43, CEST,ven 10 apr 2020, 23.29.47, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.47, CEST,ven 10 apr 2020, 23.29.51, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.51, CEST,ven 10 apr 2020, 23.29.54, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.54, CEST,ven 10 apr 2020, 23.29.58, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.29.58, CEST,ven 10 apr 2020, 23.30.02, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.30.02, CEST,ven 10 apr 2020, 23.30.05, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.30.05, CEST,ven 10 apr 2020, 23.30.09, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,test fail, ven 10 apr 2020, 23.30.09, CEST,ven 10 apr 2020, 23.30.12, CEST
