oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.26, CEST,mer 15 apr 2020, 23.58.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.31, CEST,mer 15 apr 2020, 23.58.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.37, CEST,mer 15 apr 2020, 23.58.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.42, CEST,mer 15 apr 2020, 23.58.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.48, CEST,mer 15 apr 2020, 23.58.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.54, CEST,mer 15 apr 2020, 23.58.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.58.59, CEST,mer 15 apr 2020, 23.59.04, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.04, CEST,mer 15 apr 2020, 23.59.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.09, CEST,mer 15 apr 2020, 23.59.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.14, CEST,mer 15 apr 2020, 23.59.20, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.20, CEST,mer 15 apr 2020, 23.59.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.25, CEST,mer 15 apr 2020, 23.59.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.30, CEST,mer 15 apr 2020, 23.59.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.35, CEST,mer 15 apr 2020, 23.59.41, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.41, CEST,mer 15 apr 2020, 23.59.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.49, CEST,mer 15 apr 2020, 23.59.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.54, CEST,mer 15 apr 2020, 23.59.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, mer 15 apr 2020, 23.59.59, CEST,gio 16 apr 2020, 00.00.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoDatasets,test fail, gio 16 apr 2020, 00.00.26, CEST,gio 16 apr 2020, 00.00.31, CEST
