oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.18, CEST,lun 13 apr 2020, 18.11.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.23, CEST,lun 13 apr 2020, 18.11.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.28, CEST,lun 13 apr 2020, 18.11.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.34, CEST,lun 13 apr 2020, 18.11.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.39, CEST,lun 13 apr 2020, 18.11.45, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.45, CEST,lun 13 apr 2020, 18.11.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.50, CEST,lun 13 apr 2020, 18.11.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.11.55, CEST,lun 13 apr 2020, 18.12.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.00, CEST,lun 13 apr 2020, 18.12.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.06, CEST,lun 13 apr 2020, 18.12.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.11, CEST,lun 13 apr 2020, 18.12.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.17, CEST,lun 13 apr 2020, 18.12.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.22, CEST,lun 13 apr 2020, 18.12.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.28, CEST,lun 13 apr 2020, 18.12.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.33, CEST,lun 13 apr 2020, 18.12.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMaterForHcatalogRelativePath,test fail, lun 13 apr 2020, 18.12.39, CEST,lun 13 apr 2020, 18.12.44, CEST
