oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.16, CET,ven 13 mar 2020, 02.57.19, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.19, CET,ven 13 mar 2020, 02.57.21, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.21, CET,ven 13 mar 2020, 02.57.24, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.24, CET,ven 13 mar 2020, 02.57.26, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.26, CET,ven 13 mar 2020, 02.57.29, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.29, CET,ven 13 mar 2020, 02.57.31, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.31, CET,ven 13 mar 2020, 02.57.33, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.33, CET,ven 13 mar 2020, 02.57.36, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.36, CET,ven 13 mar 2020, 02.57.38, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.38, CET,ven 13 mar 2020, 02.57.41, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.41, CET,ven 13 mar 2020, 02.57.43, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.43, CET,ven 13 mar 2020, 02.57.46, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.46, CET,ven 13 mar 2020, 02.57.48, CET
oozie,https://github.com/apache/oozie.git, 88d28bed27bc63df2cfe8f20f0b78c0637f82122,./core/, TestV1JobServlet,testSuspend,test fail, ven 13 mar 2020, 02.57.48, CET,ven 13 mar 2020, 02.57.51, CET
