oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.45.49, CEST,lun 6 apr 2020, 00.45.54, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.45.54, CEST,lun 6 apr 2020, 00.45.59, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.45.59, CEST,lun 6 apr 2020, 00.46.04, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.04, CEST,lun 6 apr 2020, 00.46.09, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.09, CEST,lun 6 apr 2020, 00.46.15, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.15, CEST,lun 6 apr 2020, 00.46.20, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.20, CEST,lun 6 apr 2020, 00.46.25, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.25, CEST,lun 6 apr 2020, 00.46.31, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.31, CEST,lun 6 apr 2020, 00.46.36, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.36, CEST,lun 6 apr 2020, 00.46.42, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.42, CEST,lun 6 apr 2020, 00.46.47, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.47, CEST,lun 6 apr 2020, 00.46.52, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.52, CEST,lun 6 apr 2020, 00.46.58, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.46.58, CEST,lun 6 apr 2020, 00.47.03, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.47.03, CEST,lun 6 apr 2020, 00.47.09, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitReservedVars,test fail, lun 6 apr 2020, 00.47.09, CEST,lun 6 apr 2020, 00.47.14, CEST
