oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.15.58, CEST,lun 6 apr 2020, 14.16.04, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.04, CEST,lun 6 apr 2020, 14.16.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.11, CEST,lun 6 apr 2020, 14.16.17, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.17, CEST,lun 6 apr 2020, 14.16.23, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.23, CEST,lun 6 apr 2020, 14.16.29, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.29, CEST,lun 6 apr 2020, 14.16.36, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.36, CEST,lun 6 apr 2020, 14.16.43, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.43, CEST,lun 6 apr 2020, 14.16.50, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.50, CEST,lun 6 apr 2020, 14.16.56, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.16.56, CEST,lun 6 apr 2020, 14.17.02, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.17.02, CEST,lun 6 apr 2020, 14.17.08, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.17.08, CEST,lun 6 apr 2020, 14.17.15, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.17.15, CEST,lun 6 apr 2020, 14.17.21, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.17.21, CEST,lun 6 apr 2020, 14.17.28, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testFullWriteRead,test fail, lun 6 apr 2020, 14.17.28, CEST,lun 6 apr 2020, 14.17.34, CEST
