VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.31, CEST,sab 11 apr 2020, 03.26.35, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.35, CEST,sab 11 apr 2020, 03.26.38, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.38, CEST,sab 11 apr 2020, 03.26.42, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.42, CEST,sab 11 apr 2020, 03.26.46, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.46, CEST,sab 11 apr 2020, 03.26.49, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.49, CEST,sab 11 apr 2020, 03.26.53, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.53, CEST,sab 11 apr 2020, 03.26.56, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.26.56, CEST,sab 11 apr 2020, 03.27.00, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.00, CEST,sab 11 apr 2020, 03.27.04, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.04, CEST,sab 11 apr 2020, 03.27.07, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.07, CEST,sab 11 apr 2020, 03.27.11, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.11, CEST,sab 11 apr 2020, 03.27.14, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.14, CEST,sab 11 apr 2020, 03.27.18, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.18, CEST,sab 11 apr 2020, 03.27.21, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.21, CEST,sab 11 apr 2020, 03.27.25, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.25, CEST,sab 11 apr 2020, 03.27.28, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.28, CEST,sab 11 apr 2020, 03.27.32, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.32, CEST,sab 11 apr 2020, 03.27.35, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.35, CEST,sab 11 apr 2020, 03.27.39, CEST
VaquarKhan-Workspace,https://github.com/vaquarkhan/VaquarKhan-Workspace.git, 9af079721f0f82d6209750bc714494c7615fd59b,./spring-boot-master/spring-boot-cli/, DependencyCustomizerTests,nonTransitiveAdd,test fail, sab 11 apr 2020, 03.27.39, CEST,sab 11 apr 2020, 03.27.42, CEST
