oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.12, CEST,mar 14 apr 2020, 23.05.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.17, CEST,mar 14 apr 2020, 23.05.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.22, CEST,mar 14 apr 2020, 23.05.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.28, CEST,mar 14 apr 2020, 23.05.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.34, CEST,mar 14 apr 2020, 23.05.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.39, CEST,mar 14 apr 2020, 23.05.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.44, CEST,mar 14 apr 2020, 23.05.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.49, CEST,mar 14 apr 2020, 23.05.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.05.55, CEST,mar 14 apr 2020, 23.06.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.06.00, CEST,mar 14 apr 2020, 23.06.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.06.05, CEST,mar 14 apr 2020, 23.06.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.06.11, CEST,mar 14 apr 2020, 23.06.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.06.16, CEST,mar 14 apr 2020, 23.06.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testBasicSubmit,test fail, mar 14 apr 2020, 23.06.21, CEST,mar 14 apr 2020, 23.06.27, CEST
