oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.20.45, CEST,mar 14 apr 2020, 00.20.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.20.50, CEST,mar 14 apr 2020, 00.20.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.20.56, CEST,mar 14 apr 2020, 00.21.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.01, CEST,mar 14 apr 2020, 00.21.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.07, CEST,mar 14 apr 2020, 00.21.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.12, CEST,mar 14 apr 2020, 00.21.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.17, CEST,mar 14 apr 2020, 00.21.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.23, CEST,mar 14 apr 2020, 00.21.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.28, CEST,mar 14 apr 2020, 00.21.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.33, CEST,mar 14 apr 2020, 00.21.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.39, CEST,mar 14 apr 2020, 00.21.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.44, CEST,mar 14 apr 2020, 00.21.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.50, CEST,mar 14 apr 2020, 00.21.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.21.55, CEST,mar 14 apr 2020, 00.22.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testMatLookupCommand1,test fail, mar 14 apr 2020, 00.22.00, CEST,mar 14 apr 2020, 00.22.05, CEST
