oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.09, CEST,gio 16 apr 2020, 01.29.14, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.14, CEST,gio 16 apr 2020, 01.29.19, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.19, CEST,gio 16 apr 2020, 01.29.25, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.25, CEST,gio 16 apr 2020, 01.29.30, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.30, CEST,gio 16 apr 2020, 01.29.35, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.35, CEST,gio 16 apr 2020, 01.29.41, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.41, CEST,gio 16 apr 2020, 01.29.46, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.46, CEST,gio 16 apr 2020, 01.29.51, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.51, CEST,gio 16 apr 2020, 01.29.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.29.56, CEST,gio 16 apr 2020, 01.30.02, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.02, CEST,gio 16 apr 2020, 01.30.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.07, CEST,gio 16 apr 2020, 01.30.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.12, CEST,gio 16 apr 2020, 01.30.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.17, CEST,gio 16 apr 2020, 01.30.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.23, CEST,gio 16 apr 2020, 01.30.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.28, CEST,gio 16 apr 2020, 01.30.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.34, CEST,gio 16 apr 2020, 01.30.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.39, CEST,gio 16 apr 2020, 01.30.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.44, CEST,gio 16 apr 2020, 01.30.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.49, CEST,gio 16 apr 2020, 01.30.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.30.55, CEST,gio 16 apr 2020, 01.31.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.00, CEST,gio 16 apr 2020, 01.31.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.06, CEST,gio 16 apr 2020, 01.31.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.11, CEST,gio 16 apr 2020, 01.31.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.16, CEST,gio 16 apr 2020, 01.31.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.22, CEST,gio 16 apr 2020, 01.31.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.27, CEST,gio 16 apr 2020, 01.31.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.32, CEST,gio 16 apr 2020, 01.31.38, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.38, CEST,gio 16 apr 2020, 01.31.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.43, CEST,gio 16 apr 2020, 01.31.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.48, CEST,gio 16 apr 2020, 01.31.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.54, CEST,gio 16 apr 2020, 01.31.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSubmitNoUsername,test fail, gio 16 apr 2020, 01.31.59, CEST,gio 16 apr 2020, 01.32.04, CEST
