oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.01, CEST,lun 6 apr 2020, 16.04.07, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.07, CEST,lun 6 apr 2020, 16.04.14, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.14, CEST,lun 6 apr 2020, 16.04.20, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.20, CEST,lun 6 apr 2020, 16.04.26, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.26, CEST,lun 6 apr 2020, 16.04.33, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.33, CEST,lun 6 apr 2020, 16.04.39, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.39, CEST,lun 6 apr 2020, 16.04.46, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.46, CEST,lun 6 apr 2020, 16.04.52, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.52, CEST,lun 6 apr 2020, 16.04.59, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.04.59, CEST,lun 6 apr 2020, 16.05.05, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.05, CEST,lun 6 apr 2020, 16.05.11, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.11, CEST,lun 6 apr 2020, 16.05.19, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.19, CEST,lun 6 apr 2020, 16.05.25, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.25, CEST,lun 6 apr 2020, 16.05.31, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.31, CEST,lun 6 apr 2020, 16.05.37, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.37, CEST,lun 6 apr 2020, 16.05.43, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.43, CEST,lun 6 apr 2020, 16.05.49, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestWorkflowBean,testWorkflow,test fail, lun 6 apr 2020, 16.05.49, CEST,lun 6 apr 2020, 16.05.56, CEST
