alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:54, CEST,lun 8 giu 2020, 18:39:56, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:56, CEST,lun 8 giu 2020, 18:39:58, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:39:58, CEST,lun 8 giu 2020, 18:40:00, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:00, CEST,lun 8 giu 2020, 18:40:02, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:02, CEST,lun 8 giu 2020, 18:40:04, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:04, CEST,lun 8 giu 2020, 18:40:06, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:06, CEST,lun 8 giu 2020, 18:40:08, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:08, CEST,lun 8 giu 2020, 18:40:10, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:10, CEST,lun 8 giu 2020, 18:40:12, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:12, CEST,lun 8 giu 2020, 18:40:14, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:14, CEST,lun 8 giu 2020, 18:40:16, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:16, CEST,lun 8 giu 2020, 18:40:19, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:19, CEST,lun 8 giu 2020, 18:40:20, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:20, CEST,lun 8 giu 2020, 18:40:22, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:22, CEST,lun 8 giu 2020, 18:40:25, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:25, CEST,lun 8 giu 2020, 18:40:27, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:27, CEST,lun 8 giu 2020, 18:40:29, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:29, CEST,lun 8 giu 2020, 18:40:31, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:31, CEST,lun 8 giu 2020, 18:40:33, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:33, CEST,lun 8 giu 2020, 18:40:35, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:35, CEST,lun 8 giu 2020, 18:40:37, CEST
alien4cloud,https://github.com/alien4cloud/alien4cloud, eb57d0feca6c37e0a4aafc3feef494e43e02ecda,./alien4cloud-security/, LdapAuthenticationProviderTest,testLdapUserImport,test pass, lun 8 giu 2020, 18:40:37, CEST,lun 8 giu 2020, 18:40:39, CEST
