oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.06, CEST,lun 13 apr 2020, 13.36.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.11, CEST,lun 13 apr 2020, 13.36.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.16, CEST,lun 13 apr 2020, 13.36.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.22, CEST,lun 13 apr 2020, 13.36.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.27, CEST,lun 13 apr 2020, 13.36.33, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.33, CEST,lun 13 apr 2020, 13.36.38, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.38, CEST,lun 13 apr 2020, 13.36.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.43, CEST,lun 13 apr 2020, 13.36.49, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.49, CEST,lun 13 apr 2020, 13.36.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.54, CEST,lun 13 apr 2020, 13.36.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordMaterializeTransitionXCommand,testActionMater,test fail, lun 13 apr 2020, 13.36.59, CEST,lun 13 apr 2020, 13.37.05, CEST
