oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.02, CEST,mer 15 apr 2020, 17.43.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.07, CEST,mer 15 apr 2020, 17.43.13, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.13, CEST,mer 15 apr 2020, 17.43.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.18, CEST,mer 15 apr 2020, 17.43.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.23, CEST,mer 15 apr 2020, 17.43.29, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.29, CEST,mer 15 apr 2020, 17.43.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.34, CEST,mer 15 apr 2020, 17.43.40, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.40, CEST,mer 15 apr 2020, 17.43.45, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.45, CEST,mer 15 apr 2020, 17.43.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.50, CEST,mer 15 apr 2020, 17.43.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.43.56, CEST,mer 15 apr 2020, 17.44.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.01, CEST,mer 15 apr 2020, 17.44.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.07, CEST,mer 15 apr 2020, 17.44.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.12, CEST,mer 15 apr 2020, 17.44.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.18, CEST,mer 15 apr 2020, 17.44.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.23, CEST,mer 15 apr 2020, 17.44.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.28, CEST,mer 15 apr 2020, 17.44.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.34, CEST,mer 15 apr 2020, 17.44.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.39, CEST,mer 15 apr 2020, 17.44.45, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.45, CEST,mer 15 apr 2020, 17.44.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.50, CEST,mer 15 apr 2020, 17.44.56, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.44.56, CEST,mer 15 apr 2020, 17.45.01, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.01, CEST,mer 15 apr 2020, 17.45.07, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.07, CEST,mer 15 apr 2020, 17.45.12, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.12, CEST,mer 15 apr 2020, 17.45.18, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.18, CEST,mer 15 apr 2020, 17.45.23, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.23, CEST,mer 15 apr 2020, 17.45.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.28, CEST,mer 15 apr 2020, 17.45.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.34, CEST,mer 15 apr 2020, 17.45.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.39, CEST,mer 15 apr 2020, 17.45.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.44, CEST,mer 15 apr 2020, 17.45.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.50, CEST,mer 15 apr 2020, 17.45.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.45.55, CEST,mer 15 apr 2020, 17.46.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.00, CEST,mer 15 apr 2020, 17.46.06, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.06, CEST,mer 15 apr 2020, 17.46.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.11, CEST,mer 15 apr 2020, 17.46.17, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.17, CEST,mer 15 apr 2020, 17.46.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.22, CEST,mer 15 apr 2020, 17.46.28, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.28, CEST,mer 15 apr 2020, 17.46.34, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.34, CEST,mer 15 apr 2020, 17.46.39, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.39, CEST,mer 15 apr 2020, 17.46.44, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.44, CEST,mer 15 apr 2020, 17.46.50, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.50, CEST,mer 15 apr 2020, 17.46.55, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.46.55, CEST,mer 15 apr 2020, 17.47.00, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.00, CEST,mer 15 apr 2020, 17.47.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.05, CEST,mer 15 apr 2020, 17.47.11, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.11, CEST,mer 15 apr 2020, 17.47.16, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.16, CEST,mer 15 apr 2020, 17.47.22, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.22, CEST,mer 15 apr 2020, 17.47.27, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.27, CEST,mer 15 apr 2020, 17.47.32, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.32, CEST,mer 15 apr 2020, 17.47.38, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.38, CEST,mer 15 apr 2020, 17.47.43, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.43, CEST,mer 15 apr 2020, 17.47.48, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.48, CEST,mer 15 apr 2020, 17.47.54, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.54, CEST,mer 15 apr 2020, 17.47.59, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.47.59, CEST,mer 15 apr 2020, 17.48.05, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.05, CEST,mer 15 apr 2020, 17.48.10, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.10, CEST,mer 15 apr 2020, 17.48.15, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.15, CEST,mer 15 apr 2020, 17.48.21, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.21, CEST,mer 15 apr 2020, 17.48.26, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.26, CEST,mer 15 apr 2020, 17.48.31, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.31, CEST,mer 15 apr 2020, 17.48.37, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.37, CEST,mer 15 apr 2020, 17.48.42, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.42, CEST,mer 15 apr 2020, 17.48.47, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.47, CEST,mer 15 apr 2020, 17.48.53, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.53, CEST,mer 15 apr 2020, 17.48.58, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.48.58, CEST,mer 15 apr 2020, 17.49.03, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.49.03, CEST,mer 15 apr 2020, 17.49.09, CEST
oozie,https://github.com/apache/oozie.git, 72dfa8906ebab4dcec5bcd4600e5d9d486870968,./core/, TestCoordSubmitXCommand,testSchemaError,test fail, mer 15 apr 2020, 17.49.09, CEST,mer 15 apr 2020, 17.49.14, CEST
