oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 14.59.57, CEST,dom 5 apr 2020, 15.00.02, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.02, CEST,dom 5 apr 2020, 15.00.08, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.08, CEST,dom 5 apr 2020, 15.00.14, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.14, CEST,dom 5 apr 2020, 15.00.19, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.19, CEST,dom 5 apr 2020, 15.00.25, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.25, CEST,dom 5 apr 2020, 15.00.30, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.30, CEST,dom 5 apr 2020, 15.00.36, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.36, CEST,dom 5 apr 2020, 15.00.42, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.42, CEST,dom 5 apr 2020, 15.00.47, CEST
oozie,https://github.com/apache/oozie.git, 5eec5654654e1bbe66240fc3050722b459773926,./core/, TestCoordSubmitXCommand,testSubmitDatasetInitialInstance,test fail, dom 5 apr 2020, 15.00.47, CEST,dom 5 apr 2020, 15.00.52, CEST
